;M_id;M_name;C_in;C_in_name;C_out;C_out_name;SM_id
M_146;M_146;Xanthine_Uric acid;Xanthine;C00385;Uric acid;C00366;20
M_147;M_147;Xanthine_Guanine;Xanthine;C00385;Guanine;C00242;20
M_148;M_148;XMP_Guanine;XMP;C00655;Guanine;C00242;20
M_149;M_149;GMP_Guanine;GMP;C00144;Guanine;C00242;20
M_150;M_150;PRPP_UMP;PRPP;C00119;UMP;C00105;21
M_151;M_151;Orotidylic acid_UMP;Orotidylic acid;C01103;UMP;C00105;21
M_152;M_152;UMP_B-Alanine;UMP;C00105;B-Alanine;C00099;21
M_153;M_153;UMP_CDP;UMP;C00105;CDP;C00112;21
M_154;M_154;Uracil_B-Alanine;Uracil;C00106;B-Alanine;C00099;21
M_155;M_155;UTP_CDP;UTP;C00075;CDP;C00112;21
M_156;M_156;CDP_Cytidine;CDP;C00112;Cytidine;C00475;21
M_157;M_157;CDP_dCDP;CDP;C00112;dCDP;C00705;21
M_158;M_158;dCDP_Deoxycytidine;dCDP;C00705;Deoxycytidine;C00881;21
M_159;M_159;dCMP_Deoxycytidine;dCMP;C00239;Deoxycytidine;C00881;21
M_160;M_160;dCDP_dUMP;dCDP;C00705;dUMP;C00365;21
M_161;M_161;dCDP_dCTP;dCDP;C00705;dCTP;C00458;21
M_162;M_162;dUMP_Deoxyuridine;dUMP;C00365;Deoxyuridine;C00526;21
M_163;M_163;dUMP_dTMP;dUMP;C00365;dTMP;C00364;21
M_164;M_164;dTMP_Succinyl-CoA;dTMP;C00364;Succinyl-CoA;C00091;21
M_165;M_165;dTMP_dTTP;dTMP;C00364;dTTP;C00459;21
M_166;M_166;Thymine_Succinyl-CoA;Thymine;C00178;Succinyl-CoA;C00091;21
M_167;M_167;(E,E)-Farnesyl-PP_Cholesterol;(E,E)-Farnesyl-PP;C00448;Cholesterol;C00187;22
M_168;M_168;Cholesterol_Chenodeoxycholate;Cholesterol;C00187;Chenodeoxycholate;C02528;22
M_169;M_169;Cholesterol_ Steroid_hormone;Cholesterol;C00187; Steroid_hormone;CC0003;22
M_170;M_170;XMP_GMP;XMP;C00655;GMP;C00144;20
M_171;M_171;dCDP_dCMP;dCDP;C00705;dCMP;C00239;21
